IMG        HOTPOINT_X HOTPOINT_Y
01-48px    6          6
01-32px    4          4
02-48px    23         23
02-32px    15         15
03-48px-*  6          6
03-32px-*  4          4
04-48px-*  23         23
04-32px-*  15         15
05-48px    23         23
05-32px    15         15
06-48px    23         23
06-32px    15         15
07-48px    6          41
07-32px    4          27
09-48px    23         23
09-32px    15         15
10-48px    23         23
10-32px    15         15
11-48px    23         23
11-32px    15         15
12-48px    23         23
12-32px    15         15
13-48px    23         23
13-32px    15         15
14-48px    42         7
14-32px    28         5
15-48px    13         7
15-32px    8          5
